,datetime,open,high,low,close
0,2025-01-17 01:55:00,1.02827,1.02837,1.02815,1.02821
1,2025-01-17 01:56:00,1.02823,1.0283,1.02804,1.02813
2,2025-01-17 01:57:00,1.02814,1.02821,1.02799,1.02812
3,2025-01-17 01:58:00,1.02813,1.02824,1.02804,1.02809
4,2025-01-17 01:59:00,1.0281,1.02813,1.02786,1.02793
5,2025-01-17 02:00:00,1.02794,1.02799,1.02768,1.02772
6,2025-01-17 02:01:00,1.02771,1.02777,1.02739,1.02761
7,2025-01-17 02:02:00,1.02762,1.02788,1.02757,1.02761
8,2025-01-17 02:03:00,1.0276,1.02767,1.02753,1.02762
9,2025-01-17 02:04:00,1.0276,1.02766,1.0275,1.02762
10,2025-01-17 02:05:00,1.02763,1.02933,1.02756,1.02823
11,2025-01-17 02:06:00,1.02825,1.02878,1.0278,1.02866
12,2025-01-17 02:07:00,1.02864,1.02899,1.0282,1.02893
13,2025-01-17 02:08:00,1.02895,1.02953,1.02891,1.02947
14,2025-01-17 02:09:00,1.02948,1.03014,1.02945,1.02997
15,2025-01-17 02:10:00,1.02996,1.03045,1.02956,1.02965
16,2025-01-17 02:11:00,1.02964,1.02988,1.02952,1.02962
17,2025-01-17 02:12:00,1.02964,1.02971,1.0291,1.02941
18,2025-01-17 02:13:00,1.02943,1.0297,1.02938,1.02962
19,2025-01-17 02:14:00,1.02961,1.02972,1.02909,1.0292
20,2025-01-17 02:15:00,1.02919,1.02954,1.02884,1.02942
21,2025-01-17 02:16:00,1.02944,1.02956,1.02906,1.02932
22,2025-01-17 02:17:00,1.02931,1.02974,1.02927,1.02947
23,2025-01-17 02:18:00,1.02946,1.02978,1.02943,1.0296
24,2025-01-17 02:19:00,1.02961,1.03001,1.02951,1.0298
25,2025-01-17 02:20:00,1.02981,1.02996,1.02951,1.02993
26,2025-01-17 02:21:00,1.02994,1.03012,1.02971,1.02986
27,2025-01-17 02:22:00,1.02985,1.02995,1.02964,1.0297
28,2025-01-17 02:23:00,1.02971,1.03006,1.02967,1.02991
29,2025-01-17 02:24:00,1.02984,1.03047,1.02981,1.0303
30,2025-01-17 02:25:00,1.03029,1.03035,1.03,1.03015
31,2025-01-17 02:26:00,1.03017,1.03039,1.03013,1.03031
32,2025-01-17 02:27:00,1.0303,1.03047,1.02993,1.02997
33,2025-01-17 02:28:00,1.02998,1.03009,1.02967,1.02975
34,2025-01-17 02:29:00,1.02973,1.02996,1.02962,1.02984
35,2025-01-17 02:30:00,1.02985,1.02998,1.02971,1.02995
36,2025-01-17 02:31:00,1.02996,1.03015,1.02992,1.0301
37,2025-01-17 02:32:00,1.03011,1.03042,1.03008,1.03035
38,2025-01-17 02:33:00,1.03036,1.03049,1.03028,1.0304
39,2025-01-17 02:34:00,1.03039,1.03062,1.03036,1.0304
40,2025-01-17 02:35:00,1.03039,1.03043,1.02983,1.02991
41,2025-01-17 02:36:00,1.02992,1.03003,1.02942,1.02951
42,2025-01-17 02:37:00,1.0295,1.02979,1.02945,1.02974
43,2025-01-17 02:38:00,1.02975,1.03008,1.02967,1.03002
44,2025-01-17 02:39:00,1.03003,1.03036,1.02997,1.03009
45,2025-01-17 02:40:00,1.0301,1.03035,1.02998,1.03031
46,2025-01-17 02:41:00,1.03029,1.03048,1.03016,1.03021
47,2025-01-17 02:42:00,1.03022,1.03033,1.02993,1.03
48,2025-01-17 02:43:00,1.02999,1.03025,1.02972,1.03007
49,2025-01-17 02:44:00,1.03006,1.03029,1.02995,1.03015
50,2025-01-17 02:45:00,1.03014,1.03024,1.02982,1.03018
51,2025-01-17 02:46:00,1.03019,1.03022,1.02976,1.02981
52,2025-01-17 02:47:00,1.02982,1.03017,1.02977,1.03006
53,2025-01-17 02:48:00,1.03007,1.03025,1.02981,1.03006
54,2025-01-17 02:49:00,1.03004,1.03015,1.02974,1.03
55,2025-01-17 02:50:00,1.03001,1.03024,1.0297,1.02981
56,2025-01-17 02:51:00,1.0298,1.03,1.02976,1.02981
57,2025-01-17 02:52:00,1.0298,1.03019,1.02964,1.02967
58,2025-01-17 02:53:00,1.02965,1.02992,1.02942,1.02981
59,2025-01-17 02:54:00,1.02983,1.02998,1.02962,1.0299
60,2025-01-17 02:55:00,1.02989,1.02994,1.02967,1.02983
61,2025-01-17 02:56:00,1.02982,1.03003,1.0297,1.02989
62,2025-01-17 02:57:00,1.02987,1.03007,1.02979,1.03001
63,2025-01-17 02:58:00,1.03,1.03014,1.02991,1.03002
64,2025-01-17 02:59:00,1.03003,1.03018,1.02995,1.0301
65,2025-01-17 03:00:00,1.03011,1.03025,1.03002,1.0301
66,2025-01-17 03:01:00,1.03011,1.03016,1.02983,1.03
67,2025-01-17 03:02:00,1.02999,1.03045,1.02996,1.03023
68,2025-01-17 03:03:00,1.03022,1.03074,1.03019,1.03071
69,2025-01-17 03:04:00,1.0307,1.03087,1.03047,1.03076
70,2025-01-17 03:05:00,1.03075,1.03086,1.03045,1.03058
71,2025-01-17 03:06:00,1.03059,1.03069,1.03036,1.03049
72,2025-01-17 03:07:00,1.03047,1.03072,1.03044,1.03061
73,2025-01-17 03:08:00,1.03063,1.03119,1.0306,1.03111
74,2025-01-17 03:09:00,1.03113,1.0312,1.03076,1.0308
75,2025-01-17 03:10:00,1.03081,1.03089,1.03054,1.03061
76,2025-01-17 03:11:00,1.03062,1.03065,1.03037,1.03047
77,2025-01-17 03:12:00,1.03049,1.03067,1.03036,1.03054
78,2025-01-17 03:13:00,1.03052,1.03072,1.03007,1.0301
79,2025-01-17 03:14:00,1.03012,1.03015,1.029,1.02922
80,2025-01-17 03:15:00,1.02923,1.02969,1.02889,1.02909
81,2025-01-17 03:16:00,1.0291,1.02927,1.02886,1.02895
82,2025-01-17 03:17:00,1.02896,1.02921,1.02861,1.02878
83,2025-01-17 03:18:00,1.02877,1.02908,1.0286,1.02899
84,2025-01-17 03:19:00,1.02898,1.0294,1.02884,1.02916
85,2025-01-17 03:20:00,1.02917,1.02924,1.02885,1.02888
86,2025-01-17 03:21:00,1.02887,1.02896,1.02859,1.0289
87,2025-01-17 03:22:00,1.02891,1.02944,1.02888,1.02926
88,2025-01-17 03:23:00,1.02927,1.02939,1.02911,1.02931
89,2025-01-17 03:24:00,1.02932,1.02949,1.02922,1.02941
90,2025-01-17 03:25:00,1.0294,1.02982,1.02927,1.02964
91,2025-01-17 03:26:00,1.02965,1.02986,1.02955,1.02979
92,2025-01-17 03:27:00,1.02978,1.03029,1.02974,1.03016
93,2025-01-17 03:28:00,1.03015,1.03018,1.02983,1.02987
94,2025-01-17 03:29:00,1.02985,1.03004,1.02974,1.02996
95,2025-01-17 03:30:00,1.02995,1.03016,1.02983,1.03004
96,2025-01-17 03:31:00,1.03003,1.03037,1.02992,1.03022
97,2025-01-17 03:32:00,1.03023,1.03069,1.03011,1.03053
98,2025-01-17 03:33:00,1.03056,1.03095,1.03053,1.03083
99,2025-01-17 03:34:00,1.03082,1.03118,1.03075,1.03104
100,2025-01-17 03:35:00,1.03105,1.0311,1.03059,1.03064
101,2025-01-17 03:36:00,1.03067,1.03082,1.03059,1.03073
102,2025-01-17 03:37:00,1.03074,1.03109,1.03059,1.03096
103,2025-01-17 03:38:00,1.03097,1.03104,1.03036,1.03047
104,2025-01-17 03:39:00,1.03046,1.03057,1.03036,1.03052
105,2025-01-17 03:40:00,1.03049,1.03066,1.03042,1.03057
106,2025-01-17 03:41:00,1.03055,1.03066,1.03029,1.03043
107,2025-01-17 03:42:00,1.03045,1.03065,1.0304,1.03045
108,2025-01-17 03:43:00,1.03046,1.0308,1.03043,1.0307
109,2025-01-17 03:44:00,1.03069,1.03088,1.03059,1.03067
110,2025-01-17 03:45:00,1.03066,1.0308,1.03056,1.03072
111,2025-01-17 03:46:00,1.03073,1.03083,1.03055,1.0307
112,2025-01-17 03:47:00,1.03069,1.03088,1.03033,1.03049
113,2025-01-17 03:48:00,1.03052,1.03058,1.03032,1.03046
114,2025-01-17 03:49:00,1.03045,1.03064,1.03033,1.03059
115,2025-01-17 03:50:00,1.0306,1.03064,1.03023,1.03031
116,2025-01-17 03:51:00,1.03032,1.03051,1.03015,1.03029
117,2025-01-17 03:52:00,1.03028,1.0306,1.03023,1.03034
118,2025-01-17 03:53:00,1.03033,1.03054,1.03019,1.03022
119,2025-01-17 03:54:00,1.03023,1.03057,1.03014,1.03032
120,2025-01-17 03:55:00,1.03033,1.03038,1.0302,1.03026
121,2025-01-17 03:56:00,1.03025,1.03042,1.0302,1.03024
122,2025-01-17 03:57:00,1.03026,1.03032,1.02993,1.03004
123,2025-01-17 03:58:00,1.03006,1.03017,1.02993,1.03012
124,2025-01-17 03:59:00,1.03013,1.03028,1.03009,1.03024
125,2025-01-17 04:00:00,1.03026,1.03029,1.02976,1.02982
126,2025-01-17 04:01:00,1.02981,1.0301,1.02974,1.02995
127,2025-01-17 04:02:00,1.02994,1.0302,1.02983,1.03016
128,2025-01-17 04:03:00,1.03014,1.03029,1.03001,1.03022
129,2025-01-17 04:04:00,1.0302,1.0303,1.03006,1.03021
130,2025-01-17 04:05:00,1.0302,1.03023,1.02997,1.03004
131,2025-01-17 04:06:00,1.03005,1.03028,1.03,1.03012
132,2025-01-17 04:07:00,1.03011,1.0302,1.03,1.03009
133,2025-01-17 04:08:00,1.03008,1.0302,1.02992,1.02995
134,2025-01-17 04:09:00,1.02996,1.03002,1.02985,1.02996
135,2025-01-17 04:10:00,1.02995,1.03022,1.02983,1.03012
136,2025-01-17 04:11:00,1.03014,1.03031,1.03009,1.03018
137,2025-01-17 04:12:00,1.03017,1.0305,1.03012,1.03041
